,Proton Number,Nucleon Number,Binding Energy
2695,86.0,196,1.4800258787389566
2696,74.0,197,1.5168624839999723
2697,75.0,197,1.5213395569999761
2698,76.0,197,1.5250662439999871
2699,77.0,197,1.5272491309730185
2700,78.0,197,1.5284036390700066
2701,79.0,197,1.528123234106971
2702,80.0,197,1.526524031334958
2703,81.0,197,1.5233391819479891
2704,82.0,197,1.5187322598530102
2705,83.0,197,1.5126767529629888
2706,84.0,197,1.5053859747909826
2707,85.0,197,1.4973518843569593
2708,86.0,197,1.4884904337739897
2709,87.0,197,1.4787514719339754
2710,75.0,198,1.5259814399999527
2711,76.0,198,1.5315878160000125
2712,77.0,198,1.5326965309999991
2713,78.0,198,1.5358881555419828
2714,79.0,198,1.534565102265958
2715,80.0,198,1.5349378962129663
2716,81.0,198,1.530514151160986
2717,82.0,198,1.5280536160499878
2718,83.0,198,1.52036357480398
2719,84.0,198,1.5154650709569637
2720,85.0,198,1.5057051886159627
2721,86.0,198,1.4992296675929708
2722,87.0,198,1.4874273825889475
2723,75.0,199,1.5317219030000047
2724,76.0,199,1.5362594909999814
2725,77.0,199,1.5393855926929803
2726,78.0,199,1.5413741725180046
2727,79.0,199,1.542078320536973
2728,80.0,199,1.5415303945860046
2729,81.0,199,1.5390445129999648
2730,82.0,199,1.535218350779985
2731,83.0,199,1.529786585029001
2732,84.0,199,1.5232307457049785
2733,85.0,199,1.5158186973349643
2734,86.0,199,1.5075590190839705
2735,87.0,199,1.4982322034959736
2736,76.0,200,1.54253993399999
2737,77.0,200,1.5445582360000003
2738,78.0,200,1.5485850690209588
2739,79.0,200,1.548225644501997
2740,80.0,200,1.5494876179289747
2741,81.0,200,1.5460328809519694
2742,82.0,200,1.5442369336739716
2743,83.0,200,1.5373597690099814
2744,84.0,200,1.5329326974949993
2745,85.0,200,1.5239831268309558
2746,86.0,200,1.5179983331150027
2747,87.0,200,1.5068696759539648
2748,76.0,201,1.5468317609999929
2749,77.0,201,1.5508293689999562
2750,78.0,201,1.553728113044997
2751,79.0,201,1.5553867017819414
2752,80.0,201,1.555647856725983
2753,81.0,201,1.5541663612149819
2754,82.0,201,1.5512576287389948
2755,83.0,201,1.5464176391730007
2756,84.0,201,1.5405124031309754
2757,85.0,201,1.533783719001974
2758,86.0,201,1.5261052342589778
2759,87.0,201,1.5174133308789806
2760,88.0,201,1.508069515231
2761,76.0,202,1.5525238119999756
2762,77.0,202,1.5556313839999802
2763,78.0,202,1.5606800909999947
2764,79.0,202,1.5613400639999782
2765,80.0,202,1.563330804675985
2766,81.0,202,1.5609666383059562
2767,82.0,202,1.5599268482970103
2768,83.0,202,1.5537398478979867
2769,84.0,202,1.549932052445996
2770,85.0,202,1.5415894863339759
2771,86.0,202,1.5362712327579686
2772,87.0,202,1.5259001079529924
2773,88.0,202,1.5189299140449748
2774,76.0,203,1.5552664549999804
2775,77.0,203,1.5613625369999795
2776,78.0,203,1.5654997949999938
2777,79.0,203,1.5681311679479677
2778,80.0,203,1.5692557993239689
2779,81.0,203,1.5687476447619702
